#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2018 01 03 03 50  55  4.6  6.2  2.60 16.00  9.82 311 1020.0  21.1  23.0 999.0 99.0 99.00
2018 01 03 04 50  50  4.5  6.4  2.41 16.00  9.76 309 1020.8  21.0  22.9 999.0 99.0 99.00
2018 01 03 05 50  68  4.4  5.5  2.43 16.00  9.61 315 1021.3  21.0  22.9 999.0 99.0 99.00
2018 01 03 06 50  69  3.2  4.8  2.59 14.81 10.01 311 1022.1  20.9  22.9 999.0 99.0 99.00
2018 01 03 07 50  51  3.9  5.2  2.52 13.79  9.91 306 1022.5  20.8  22.9 999.0 99.0 99.00
2018 01 03 08 50  43  3.2  4.7  2.53 14.81 10.17 312 1022.5  20.8  22.9 999.0 99.0 99.00
2018 01 03 09 50  48  5.6  7.5  2.20 13.79  9.56 310 1022.2  20.8  22.9 999.0 99.0 99.00
2018 01 03 10 50  37  5.8  7.3  2.28 13.79  9.33 307 1022.1  20.8  22.9 999.0 99.0 99.00
2018 01 03 11 50  51  5.1  6.1  2.54 14.81  9.68 306 1021.9  20.7  22.8 999.0 99.0 99.00
2018 01 03 12 50  50  5.6  6.6  2.69 13.79  9.91 308 1021.4  20.7  22.8 999.0 99.0 99.00
2018 01 03 13 50  51  5.3  7.3  2.38 12.90  8.88 303 1021.2  20.7  22.8 999.0 99.0 99.00
2018 01 03 14 50  55  6.2  7.9  2.49 13.79  9.33 300 1021.1  20.8  22.8 999.0 99.0 99.00
2018 01 03 15 50  52  6.2  8.0  2.38 13.79  8.71 294 1020.9  20.8  22.8 999.0 99.0 99.00
2018 01 03 16 50  59  6.4  8.2  2.39 12.90  8.77 308 1021.5  21.1  22.8 999.0 99.0 99.00
2018 01 03 17 50  73  6.2  7.5  2.63 13.79  9.07 302 1021.9  21.3  22.8 999.0 99.0 99.00
2018 01 03 18 50  65  5.4  6.8  2.62 12.12  8.90 306 1022.5  21.7  22.8 999.0 99.0 99.00
2018 01 03 19 50  76  4.3  5.7  2.41 13.79  8.76 303 1022.9  21.8  22.8 999.0 99.0 99.00
2018 01 03 20 50  62  4.0  5.0  2.40 13.79  8.98 309 1023.2  21.9  22.9 999.0 99.0 99.00
2018 01 03 21 50  42  4.4  5.6  2.44 12.90  8.94 303 1022.4  21.7  22.9 999.0 99.0 99.00
2018 01 03 22 50  37  4.7  5.8  2.26 12.12  8.47 295 1021.2  21.6  22.9 999.0 99.0 99.00
2018 01 03 23 50  32  5.0  6.2  2.37 13.79  8.61 299 1020.9  21.8  22.9 999.0 99.0 99.00
2018 01 04 00 50  32  5.2  6.4  2.17 13.79  8.27 301 1020.7  21.9  23.0 999.0 99.0 99.00
2018 01 04 01 50  24  6.9  8.0  2.07 13.79  8.18 288 1020.6  21.7  22.9 999.0 99.0 99.00
2018 01 04 02 50  33  7.4  8.7  2.01 13.79  7.69 309 1021.0  21.5  22.9 999.0 99.0 99.00
2018 01 04 03 50  42  7.4  9.0  1.91 12.90  7.56 293 1021.1  21.7  22.9 999.0 99.0 99.00
2018 01 04 04 50  48  7.9  9.4  1.97 13.79  7.36 310 1021.3  21.6  22.9 999.0 99.0 99.00
2018 01 04 05 50  50  7.9  9.3  2.01 12.12  7.07 307 1021.6  21.5  22.8 999.0 99.0 99.00
2018 01 04 06 50  64  7.3  9.5  1.88 13.79  6.89 293 1021.5  21.5  22.8 999.0 99.0 99.00
2018 01 04 07 50  66  6.7  8.4  2.26 12.90  7.43 295 1021.4  21.2  22.8 999.0 99.0 99.00
2018 01 04 08 50  65  6.5  8.3  2.11 12.12  7.11 298 1021.3  21.4  22.8 999.0 99.0 99.00
2018 01 04 09 50  78  7.3  9.1  1.99 12.90  6.88 316 1020.8  21.5  22.8 999.0 99.0 99.00
2018 01 04 10 50  66  6.4  8.6  2.08 12.12  7.01 297 1020.9  21.5  22.8 999.0 99.0 99.00
2018 01 04 11 50  72  7.1  9.0  2.16 11.43  6.97 312 1020.8  21.5  22.8 999.0 99.0 99.00
2018 01 04 12 50  71  6.4  8.6  2.13 13.79  6.91 304 1020.9  21.5  22.8 999.0 99.0 99.00
2018 01 04 13 50  79  7.7  9.6  2.03 12.12  6.84 302 1020.4  21.4  22.8 999.0 99.0 99.00
2018 01 04 14 50  78  8.1 10.9  2.34 13.79  7.18 287 1020.1  21.2  22.8 999.0 99.0 99.00
2018 01 04 15 50  73  6.3  7.9  2.28 13.79  7.14 292 1021.2  21.3  22.8 999.0 99.0 99.00
2018 01 04 16 50  60  6.7  7.9  2.21 13.79  7.28 282 1022.2  21.3  22.8 999.0 99.0 99.00
2018 01 04 17 50  59  7.0  9.1  2.27 10.81  7.10 302 1022.7  21.2  22.8 999.0 99.0 99.00
2018 01 04 18 50  81  5.1  6.8  2.29 13.79  7.06 276 1023.2  21.3  22.8 999.0 99.0 99.00
2018 01 04 19 50  80  6.5  9.3  2.17 12.90  6.90 289 1023.3  21.5  22.8 999.0 99.0 99.00
2018 01 04 20 50  76  7.5  9.4  2.07 13.79  6.68 279 1023.0  21.3  22.8 999.0 99.0 99.00
2018 01 04 21 50  69  6.7  8.3  2.13 11.43  7.03 306 1022.9  21.1  22.8 999.0 99.0 99.00
2018 01 04 22 50  80  6.9  9.6  2.21 12.90  6.99 282 1021.9  21.2  22.8 999.0 99.0 99.00
2018 01 04 23 50 101  5.6  7.8  2.00 13.79  6.48 284 1021.2  21.2  22.9 999.0 99.0 99.00
2018 01 05 00 50 103  5.1  6.8  1.96 13.79  6.70 297 1020.7  21.3  22.9 999.0 99.0 99.00
2018 01 05 01 50  80  5.3  7.1  2.00  7.14  6.35  59 1021.9  21.3  22.8 999.0 99.0 99.00
2018 01 05 02 50  80  5.4  6.5  2.04  9.09  6.70 357 1022.0  21.4  22.8 999.0 99.0 99.00
2018 01 05 03 50  69  5.2  6.8  1.93 12.90  6.54 305 1022.6  21.4  22.6 999.0 99.0 99.00
2018 01 05 04 50  67  6.6  8.1  1.78 12.90  6.43 306 1023.1  21.3  22.5 999.0 99.0 99.00
2018 01 05 05 50  66  7.0  8.2  1.94 13.79  6.68 272 1023.6  21.3  22.4 999.0 99.0 99.00
