5.8,2.21,7.00,993.9,6.9,319
5.4,2.15,6.75,994.4,6.9,311
5.6,2.26,6.86,994.9,7.0,333
4.7,2.01,6.85,995.5,7.1,323
5.2,2.00,7.35,995.8,7.1,337
5.1,1.81,7.20,996.2,7.1,328
4.0,1.72,7.21,996.6,7.1,326
5.8,1.69,7.11,996.8,7.0,341
5.6,1.83,7.40,997.2,7.0,332
5.5,1.58,7.12,997.7,6.9,317
7.1,1.67,7.16,998.0,6.9,323
5.1,1.73,6.97,998.9,6.9,333
3.8,1.80,7.16,999.2,6.9,338
6.1,2.01,7.40,999.2,6.9,350
5.9,1.84,6.70,999.5,6.9,341
7.0,1.86,6.26,999.8,6.9,345
6.5,1.82,6.03,1000.3,6.9,353
8.8,1.92,6.15,1000.6,6.9,358
10.0,1.89,5.76,1000.9,6.9,360
8.3,1.64,5.55,1001.6,6.9,5
8.2,1.56,5.75,1002.1,6.9,360
8.1,1.71,5.79,1002.9,6.9,358
8.8,1.69,5.70,1003.4,6.9,358
8.8,1.74,5.89,1003.9,6.9,355
9.2,1.76,6.09,1004.3,6.9,352
8.5,1.91,6.06,1004.6,6.9,1
8.6,2.07,6.41,1004.9,6.9,5
8.3,1.81,6.18,1005.2,6.9,1
7.2,1.91,6.23,1005.5,6.9,351
7.6,2.05,6.38,1005.7,6.9,349
7.1,1.85,6.05,1006.1,6.9,347
7.4,2.10,6.26,1006.1,6.9,340
7.6,1.81,6.16,1006.1,6.9,345
7.7,1.87,6.02,1006.5,6.9,334
7.1,1.78,6.12,1007.1,6.9,328
8.5,1.82,6.17,1007.5,6.9,324
7.8,1.95,6.34,1007.7,6.8,324
8.2,2.21,6.57,1008.0,6.8,323
8.7,2.08,6.16,1007.9,6.8,328
8.9,2.18,6.17,1008.1,6.8,315
8.3,2.04,5.84,1008.3,6.8,322
8.3,1.88,5.87,1008.4,6.7,322
9.1,1.78,5.65,1008.6,6.8,336
8.5,1.76,5.89,1009.0,6.8,326
8.3,1.80,6.07,1009.4,6.8,322
8.0,1.70,5.94,1009.8,6.8,313
7.0,1.66,5.96,1010.2,6.7,315
7.4,1.66,6.47,1010.4,6.8,300
5.7,1.80,6.74,1010.6,6.8,311
5.1,1.75,6.30,1010.9,6.8,306
6.5,1.74,6.18,1010.7,6.8,275
6.8,1.64,6.08,1010.4,6.8,261
7.0,1.64,6.07,1010.4,6.9,268
7.5,1.62,5.97,1010.4,6.9,271
6.6,1.48,5.62,1010.3,6.8,279
4.6,1.44,5.87,1010.5,6.8,331
3.8,1.36,5.91,1010.7,6.8,298
5.5,1.42,6.23,1010.9,6.8,302
7.9,1.53,6.28,1011.3,6.8,310
6.6,1.60,5.82,1011.8,6.8,311
6.7,1.64,5.77,1011.9,6.8,311
7.8,1.52,5.52,1012.1,6.8,309
6.7,1.71,5.83,1012.1,6.8,305
6.7,1.72,5.64,1012.1,6.8,308
6.7,1.72,5.63,1012.3,6.9,307
7.8,1.77,5.51,1012.4,6.9,319
7.3,1.56,5.52,1012.9,6.9,317
7.3,1.54,5.18,1013.2,6.9,321
6.8,1.48,5.57,1013.6,7.0,308
6.1,1.43,6.16,1014.1,7.1,274
5.6,1.43,5.86,1014.4,7.1,301
5.8,1.49,6.52,1014.5,7.2,313
5.7,1.50,6.09,1014.9,7.2,288
4.9,1.59,6.49,1015.0,7.2,297
4.4,1.67,6.13,1015.2,7.2,279
6.0,1.66,6.17,1015.1,7.2,274
5.3,1.79,6.12,1015.1,7.2,276
3.0,1.79,6.08,1015.3,7.3,322
3.1,1.64,6.64,1015.3,7.3,305
4.3,1.52,6.25,1015.1,7.3,336
2.5,1.59,7.01,1015.4,7.3,344
2.4,1.44,6.72,1015.4,7.3,297
2.0,1.39,6.85,1015.4,7.3,299
1.4,1.45,7.03,1015.4,7.3,355
4.6,1.42,6.81,1015.3,7.3,302
4.2,1.45,6.55,1015.4,7.3,331
5.5,1.50,6.34,1015.2,7.3,297
3.9,1.57,6.28,1015.5,7.3,326
3.0,1.53,5.99,1015.4,7.3,282
4.9,1.72,5.58,1015.2,7.3,292
3.7,1.51,5.13,1015.2,7.2,293
6.1,1.44,5.59,1015.2,7.2,276
6.9,1.59,5.65,1015.5,7.3,326
6.6,1.45,5.59,1015.7,7.3,285
7.4,1.47,5.66,1015.9,7.3,313
7.5,1.36,5.71,1015.8,7.3,317
7.0,1.54,5.88,1016.0,7.3,316
7.4,1.45,5.81,1016.0,7.3,319
6.9,1.44,5.93,1016.0,7.3,318
8.0,1.53,5.68,1015.8,7.3,322
7.6,1.55,5.48,1015.9,7.4,322
7.9,1.72,5.52,1015.9,7.4,315
8.1,1.70,5.27,1016.0,7.3,312
8.6,1.67,5.26,1015.8,7.3,320
8.4,1.64,5.08,1015.9,7.2,326
7.5,1.39,5.21,1016.0,7.4,326
6.5,1.39,5.30,1016.3,7.4,330
6.4,1.32,5.40,1016.6,7.4,327
5.9,1.26,5.47,1016.7,7.4,319
6.3,1.32,5.52,1016.6,7.4,305
5.7,1.38,5.62,1016.5,7.3,296
5.9,1.42,5.61,1016.3,7.2,298
5.5,1.40,5.44,1016.2,7.2,301
4.8,1.40,5.34,1016.3,7.2,299
4.6,1.48,5.49,1016.4,7.2,323
3.6,1.27,5.13,1016.6,7.2,315
4.3,1.43,5.62,1016.7,7.2,296
4.7,1.31,6.07,1016.8,7.2,278
3.3,1.12,5.86,1016.7,7.2,265
2.8,1.19,6.22,1016.9,7.4,316
2.8,1.10,6.23,1017.0,7.5,288
4.2,1.05,6.31,1016.8,7.5,267
3.2,0.99,6.14,1016.5,7.5,266
3.6,1.02,5.89,1016.2,7.5,266
3.8,1.05,5.76,1016.1,7.5,254
4.3,1.04,5.39,1015.9,7.5,252
4.8,1.20,5.48,1015.8,7.5,267
4.4,1.09,5.27,1015.6,7.5,258
4.5,1.04,5.43,1015.6,7.5,255
3.9,1.08,5.45,1015.7,7.5,236
5.1,0.97,5.34,1015.7,7.4,247
4.0,0.92,5.39,1016.0,7.4,242
4.5,0.86,5.73,1015.8,7.4,247
4.6,0.87,5.45,1015.7,7.4,244
4.1,0.89,5.55,1015.6,7.4,251
5.4,0.89,5.30,1015.5,7.5,247
5.6,0.93,5.09,1015.4,7.5,239
5.9,1.00,4.78,1015.2,7.5,235
5.8,1.08,4.83,1015.3,7.5,245
6.4,1.05,4.70,1015.4,7.5,249
6.4,0.99,4.64,1015.5,7.5,247
5.1,1.06,4.94,1015.9,7.5,243
6.2,0.99,5.05,1015.7,7.5,234
5.3,0.98,5.16,1015.9,7.6,238
6.3,1.00,5.37,1016.0,7.6,235
6.1,0.96,5.20,1016.2,7.4,234
5.7,0.97,4.92,1016.1,7.6,232
6.5,1.00,4.98,1015.9,7.6,236
7.0,1.04,4.94,1015.8,7.6,245
6.6,1.15,4.91,1015.8,7.6,243
7.6,1.22,4.75,1015.9,7.5,253
6.6,1.21,4.77,1016.0,7.5,256
5.9,1.09,4.57,1016.2,7.5,256
5.5,1.14,4.71,1016.4,7.5,252
6.1,1.17,4.95,1016.8,7.5,250
5.3,1.12,4.99,1017.4,7.5,240
5.4,1.11,5.33,1017.5,7.5,240
6.1,1.09,5.26,1017.6,7.7,242
6.1,1.11,5.21,1017.6,7.4,243
6.5,1.19,5.24,1017.6,6.6,241
5.8,1.16,4.97,1017.8,6.4,238
4.7,1.33,5.34,1018.0,6.3,254
5.4,1.27,5.16,1018.1,6.3,247
5.2,1.40,5.19,1018.5,7.0,237
5.6,1.37,5.35,1018.4,6.9,227
4.3,1.33,5.28,1018.5,7.1,222
5.0,1.19,5.18,1018.7,7.0,222
5.3,1.16,5.44,1018.4,6.2,206
4.6,1.11,5.91,1018.3,6.1,198
5.9,1.07,5.45,1018.5,6.0,197
6.7,1.15,5.40,1018.0,7.0,190
6.0,1.09,5.06,1017.7,7.1,192
6.7,1.14,5.06,1017.1,7.3,180
7.1,1.07,5.06,1016.7,7.3,176
6.5,1.10,4.87,1016.0,7.7,165
7.3,1.22,5.29,1015.3,7.7,160
8.6,1.24,4.89,1014.4,7.7,162
8.3,1.23,4.68,1013.9,7.7,154
9.0,1.23,4.64,1012.9,7.7,143
10.6,1.31,4.62,1012.1,7.7,143
11.1,1.33,4.43,1010.9,7.7,136
11.9,1.52,4.61,1009.5,7.6,132
11.7,1.74,4.78,1008.3,7.7,135
10.9,1.80,4.77,1007.0,7.8,135
11.6,1.98,4.97,1005.9,7.8,137
12.0,2.07,5.10,1004.5,7.7,130
12.3,1.97,5.01,1003.4,7.7,129
12.3,2.21,5.09,1002.8,7.5,130
11.8,2.33,5.36,1002.0,7.5,128
11.2,2.61,5.63,1001.4,7.0,128
10.5,2.53,5.60,1000.8,7.1,132
9.5,2.63,5.82,1000.1,7.0,132
8.4,2.78,6.33,999.6,6.9,132
6.8,2.66,6.46,999.7,6.8,140
5.2,2.66,6.71,999.4,6.7,143
4.7,2.65,6.84,999.0,6.8,148
4.1,2.64,6.94,998.9,6.9,178
4.2,2.54,6.87,998.8,6.9,214
4.7,2.62,7.09,998.8,7.0,220
5.5,2.71,7.27,998.2,7.1,229
6.2,2.44,7.08,998.6,7.2,235
6.2,2.34,6.98,998.8,7.3,225
6.4,2.42,6.88,998.9,7.4,220
6.0,3.00,7.45,998.9,7.5,209
6.3,2.47,6.88,998.7,7.6,213
5.7,2.52,6.90,998.2,7.5,207
5.6,2.86,7.40,997.8,7.3,205
5.8,2.79,7.48,997.5,7.2,206
3.7,2.72,7.38,997.0,7.1,206
4.4,2.80,7.47,996.5,7.0,208
5.3,2.78,7.55,996.1,7.3,208
5.8,2.72,7.37,995.8,7.2,215
7.0,2.40,6.95,995.4,7.1,213
7.3,2.47,6.90,995.3,7.1,212
7.3,2.66,7.11,995.1,7.2,223
7.0,2.39,6.73,995.1,7.4,224
7.2,2.19,6.67,994.9,7.4,225
6.5,2.35,6.88,994.8,7.7,232
7.8,2.63,7.28,994.8,7.9,231
7.8,2.81,7.37,994.8,7.8,235
7.8,2.40,7.00,994.7,7.7,233
8.6,2.46,6.87,994.5,7.7,234
9.8,2.36,6.56,994.3,7.7,232
8.3,2.42,6.43,994.3,7.7,236
9.0,2.68,6.73,994.2,7.7,245
8.3,2.27,6.19,994.5,7.7,236
8.3,2.37,6.54,994.9,7.7,241
7.5,2.38,6.49,995.2,7.6,238
7.2,2.16,6.19,995.2,7.7,240
7.7,2.36,6.59,995.3,7.7,239
6.8,2.30,6.65,995.2,7.7,248
7.4,2.28,6.72,995.2,7.8,242
7.0,2.12,6.52,995.3,7.7,260
6.6,2.28,6.70,995.7,7.5,261
6.2,2.22,6.62,996.0,7.8,254
5.9,2.04,6.61,996.3,7.8,258
6.7,1.92,6.14,996.5,7.8,268
7.0,1.87,6.09,996.9,7.8,263
5.8,1.79,6.10,997.7,7.8,250
6.2,1.97,6.36,997.8,7.8,254
7.3,2.02,6.31,998.4,7.9,254
6.6,1.82,6.22,998.5,7.7,248
6.1,1.76,6.35,998.8,7.5,268
6.8,1.85,6.43,998.9,7.6,260
6.1,1.71,6.37,999.2,7.9,258
6.9,1.92,6.50,999.3,7.9,263
6.9,1.83,6.15,999.4,7.9,252
8.0,1.91,6.23,999.5,7.9,259
7.4,1.77,5.90,999.6,7.8,259
7.6,1.85,5.91,999.7,7.9,254
7.8,1.99,5.94,1000.2,7.9,253
9.2,1.84,5.71,1000.3,7.9,256
8.6,1.79,5.34,1000.5,7.8,254
9.0,1.61,5.26,1000.3,7.9,255
8.5,1.66,5.28,1000.4,7.9,259
8.8,1.76,5.50,1000.6,7.8,258
9.2,1.85,5.67,1000.7,7.8,258
10.1,1.85,5.52,1000.6,7.8,260
9.4,2.00,5.96,1001.2,7.8,261
9.5,1.84,5.69,1001.7,7.8,263
9.0,2.00,5.89,1002.2,7.9,276
8.8,1.99,5.77,1002.9,8.0,279
8.7,1.97,5.88,1003.9,8.0,282
8.0,2.05,5.82,1004.8,8.0,279
8.6,1.83,5.71,1005.5,8.0,287
8.6,1.90,5.61,1006.2,7.9,289
8.9,1.97,5.88,1006.7,7.8,281
10.2,2.08,5.97,1007.1,7.8,278
8.8,2.19,6.09,1007.4,7.9,294
8.6,2.22,6.16,1007.7,8.0,285
7.5,2.24,6.37,1008.4,8.1,280
7.7,1.96,6.29,1008.9,8.1,279
7.1,2.07,5.92,1009.6,8.1,272
9.6,1.98,5.99,1009.7,8.1,289
9.8,2.11,5.73,1010.2,8.1,285
